Categoría: Todas las categorías

Semana,asfixia: (Colombia)
2020-01-05,19
2020-01-12,28
2020-01-19,45
2020-01-26,51
2020-02-02,41
2020-02-09,32
2020-02-16,62
2020-02-23,19
2020-03-01,25
2020-03-08,37
2020-03-15,34
2020-03-22,49
2020-03-29,57
2020-04-05,50
2020-04-12,65
2020-04-19,48
2020-04-26,40
2020-05-03,43
2020-05-10,42
2020-05-17,63
2020-05-24,100
2020-05-31,77
2020-06-07,39
2020-06-14,38
2020-06-21,33
2020-06-28,46
2020-07-05,37
2020-07-12,39
2020-07-19,57
2020-07-26,46
2020-08-02,53
2020-08-09,27
2020-08-16,44
2020-08-23,33
2020-08-30,29
2020-09-06,43
2020-09-13,41
2020-09-20,45
2020-09-27,39
2020-10-04,66
2020-10-11,51
2020-10-18,56
2020-10-25,53
2020-11-01,37
2020-11-08,33
2020-11-15,38
2020-11-22,43
2020-11-29,32
2020-12-06,32
2020-12-13,28
2020-12-20,29
2020-12-27,35
2021-01-03,40
2021-01-10,33
2021-01-17,53
2021-01-24,28
2021-01-31,32
2021-02-07,46
2021-02-14,27
2021-02-21,35
2021-02-28,31
2021-03-07,31
2021-03-14,44
2021-03-21,68
2021-03-28,43
2021-04-04,33
2021-04-11,47
2021-04-18,76
2021-04-25,54
2021-05-02,48
2021-05-09,45
2021-05-16,55
2021-05-23,50
2021-05-30,50
2021-06-06,60
2021-06-13,43
2021-06-20,68
2021-06-27,54
2021-07-04,46
2021-07-11,35
2021-07-18,54
2021-07-25,53
2021-08-01,40
2021-08-08,29
2021-08-15,34
2021-08-22,56
2021-08-29,55
2021-09-05,32
2021-09-12,33
2021-09-19,25
2021-09-26,36
2021-10-03,22
2021-10-10,35
2021-10-17,48
2021-10-24,34
2021-10-31,39
2021-11-07,37
2021-11-14,38
2021-11-21,19
2021-11-28,25
2021-12-05,22
2021-12-12,26
2021-12-19,24
2021-12-26,47
2022-01-02,35
2022-01-09,33
2022-01-16,30
2022-01-23,56
2022-01-30,52
2022-02-06,35
2022-02-13,62
2022-02-20,47
2022-02-27,38
2022-03-06,26
2022-03-13,38
2022-03-20,28
2022-03-27,42
2022-04-03,37
2022-04-10,32
2022-04-17,79
2022-04-24,40
2022-05-01,32
2022-05-08,41
2022-05-15,42
2022-05-22,34
2022-05-29,33
