Categoría: Todas las categorías

Semana,dolor de cabeza: (Colombia)
2020-01-05,67
2020-01-12,63
2020-01-19,65
2020-01-26,67
2020-02-02,59
2020-02-09,54
2020-02-16,63
2020-02-23,57
2020-03-01,56
2020-03-08,58
2020-03-15,63
2020-03-22,75
2020-03-29,84
2020-04-05,98
2020-04-12,88
2020-04-19,77
2020-04-26,67
2020-05-03,69
2020-05-10,72
2020-05-17,69
2020-05-24,67
2020-05-31,66
2020-06-07,65
2020-06-14,70
2020-06-21,79
2020-06-28,75
2020-07-05,74
2020-07-12,84
2020-07-19,78
2020-07-26,77
2020-08-02,79
2020-08-09,80
2020-08-16,73
2020-08-23,70
2020-08-30,67
2020-09-06,64
2020-09-13,66
2020-09-20,59
2020-09-27,62
2020-10-04,70
2020-10-11,68
2020-10-18,71
2020-10-25,67
2020-11-01,69
2020-11-08,62
2020-11-15,63
2020-11-22,68
2020-11-29,65
2020-12-06,70
2020-12-13,70
2020-12-20,76
2020-12-27,83
2021-01-03,79
2021-01-10,93
2021-01-17,81
2021-01-24,78
2021-01-31,76
2021-02-07,68
2021-02-14,65
2021-02-21,62
2021-02-28,60
2021-03-07,63
2021-03-14,61
2021-03-21,68
2021-03-28,80
2021-04-04,69
2021-04-11,79
2021-04-18,73
2021-04-25,72
2021-05-02,71
2021-05-09,73
2021-05-16,77
2021-05-23,78
2021-05-30,75
2021-06-06,83
2021-06-13,91
2021-06-20,85
2021-06-27,85
2021-07-04,78
2021-07-11,78
2021-07-18,81
2021-07-25,69
2021-08-01,74
2021-08-08,72
2021-08-15,70
2021-08-22,66
2021-08-29,64
2021-09-05,65
2021-09-12,67
2021-09-19,56
2021-09-26,60
2021-10-03,60
2021-10-10,68
2021-10-17,69
2021-10-24,61
2021-10-31,62
2021-11-07,57
2021-11-14,58
2021-11-21,58
2021-11-28,60
2021-12-05,63
2021-12-12,61
2021-12-19,72
2021-12-26,78
2022-01-02,86
2022-01-09,100
2022-01-16,82
2022-01-23,81
2022-01-30,76
2022-02-06,66
2022-02-13,61
2022-02-20,66
2022-02-27,59
2022-03-06,55
2022-03-13,63
2022-03-20,72
2022-03-27,64
2022-04-03,68
2022-04-10,74
2022-04-17,69
2022-04-24,75
2022-05-01,69
2022-05-08,72
2022-05-15,73
2022-05-22,74
2022-05-29,69
