Categoría: Todas las categorías

Semana,escalofrio: (Colombia)
2020-01-05,32
2020-01-12,20
2020-01-19,23
2020-01-26,19
2020-02-02,5
2020-02-09,20
2020-02-16,34
2020-02-23,24
2020-03-01,19
2020-03-08,23
2020-03-15,34
2020-03-22,36
2020-03-29,24
2020-04-05,34
2020-04-12,26
2020-04-19,41
2020-04-26,25
2020-05-03,15
2020-05-10,27
2020-05-17,35
2020-05-24,16
2020-05-31,31
2020-06-07,30
2020-06-14,41
2020-06-21,43
2020-06-28,31
2020-07-05,33
2020-07-12,48
2020-07-19,44
2020-07-26,53
2020-08-02,33
2020-08-09,30
2020-08-16,47
2020-08-23,29
2020-08-30,28
2020-09-06,35
2020-09-13,15
2020-09-20,24
2020-09-27,28
2020-10-04,26
2020-10-11,36
2020-10-18,12
2020-10-25,31
2020-11-01,12
2020-11-08,38
2020-11-15,51
2020-11-22,38
2020-11-29,49
2020-12-06,23
2020-12-13,34
2020-12-20,42
2020-12-27,46
2021-01-03,58
2021-01-10,39
2021-01-17,24
2021-01-24,46
2021-01-31,22
2021-02-07,26
2021-02-14,30
2021-02-21,18
2021-02-28,32
2021-03-07,45
2021-03-14,40
2021-03-21,24
2021-03-28,34
2021-04-04,18
2021-04-11,46
2021-04-18,30
2021-04-25,48
2021-05-02,31
2021-05-09,38
2021-05-16,32
2021-05-23,50
2021-05-30,35
2021-06-06,39
2021-06-13,41
2021-06-20,37
2021-06-27,35
2021-07-04,44
2021-07-11,43
2021-07-18,34
2021-07-25,42
2021-08-01,43
2021-08-08,24
2021-08-15,22
2021-08-22,37
2021-08-29,23
2021-09-05,24
2021-09-12,25
2021-09-19,14
2021-09-26,33
2021-10-03,28
2021-10-10,21
2021-10-17,23
2021-10-24,19
2021-10-31,40
2021-11-07,32
2021-11-14,30
2021-11-21,17
2021-11-28,37
2021-12-05,38
2021-12-12,42
2021-12-19,42
2021-12-26,52
2022-01-02,100
2022-01-09,82
2022-01-16,52
2022-01-23,21
2022-01-30,33
2022-02-06,33
2022-02-13,32
2022-02-20,14
2022-02-27,32
2022-03-06,30
2022-03-13,21
2022-03-20,23
2022-03-27,29
2022-04-03,31
2022-04-10,48
2022-04-17,42
2022-04-24,20
2022-05-01,36
2022-05-08,30
2022-05-15,19
2022-05-22,44
2022-05-29,36
