Categoría: Todas las categorías

Semana,fiebre: (Colombia)
2020-01-05,41
2020-01-12,33
2020-01-19,29
2020-01-26,30
2020-02-02,29
2020-02-09,30
2020-02-16,29
2020-02-23,33
2020-03-01,35
2020-03-08,37
2020-03-15,57
2020-03-22,50
2020-03-29,40
2020-04-05,38
2020-04-12,35
2020-04-19,31
2020-04-26,31
2020-05-03,29
2020-05-10,29
2020-05-17,31
2020-05-24,32
2020-05-31,32
2020-06-07,32
2020-06-14,33
2020-06-21,35
2020-06-28,36
2020-07-05,38
2020-07-12,46
2020-07-19,41
2020-07-26,42
2020-08-02,38
2020-08-09,34
2020-08-16,33
2020-08-23,33
2020-08-30,28
2020-09-06,27
2020-09-13,27
2020-09-20,30
2020-09-27,31
2020-10-04,33
2020-10-11,34
2020-10-18,33
2020-10-25,31
2020-11-01,31
2020-11-08,28
2020-11-15,31
2020-11-22,29
2020-11-29,34
2020-12-06,38
2020-12-13,38
2020-12-20,45
2020-12-27,45
2021-01-03,50
2021-01-10,44
2021-01-17,40
2021-01-24,31
2021-01-31,31
2021-02-07,26
2021-02-14,25
2021-02-21,26
2021-02-28,26
2021-03-07,25
2021-03-14,26
2021-03-21,28
2021-03-28,37
2021-04-04,35
2021-04-11,37
2021-04-18,36
2021-04-25,32
2021-05-02,33
2021-05-09,32
2021-05-16,38
2021-05-23,39
2021-05-30,43
2021-06-06,47
2021-06-13,48
2021-06-20,50
2021-06-27,47
2021-07-04,44
2021-07-11,38
2021-07-18,38
2021-07-25,34
2021-08-01,34
2021-08-08,31
2021-08-15,34
2021-08-22,32
2021-08-29,29
2021-09-05,29
2021-09-12,29
2021-09-19,32
2021-09-26,30
2021-10-03,35
2021-10-10,32
2021-10-17,32
2021-10-24,28
2021-10-31,34
2021-11-07,33
2021-11-14,34
2021-11-21,33
2021-11-28,34
2021-12-05,41
2021-12-12,41
2021-12-19,48
2021-12-26,68
2022-01-02,100
2022-01-09,95
2022-01-16,68
2022-01-23,56
2022-01-30,39
2022-02-06,32
2022-02-13,31
2022-02-20,31
2022-02-27,31
2022-03-06,31
2022-03-13,31
2022-03-20,39
2022-03-27,37
2022-04-03,42
2022-04-10,45
2022-04-17,36
2022-04-24,37
2022-05-01,44
2022-05-08,44
2022-05-15,47
2022-05-22,51
2022-05-29,47
