Categoría: Todas las categorías

Semana,malestar: (Colombia)
2020-01-05,42
2020-01-12,41
2020-01-19,41
2020-01-26,34
2020-02-02,31
2020-02-09,38
2020-02-16,34
2020-02-23,37
2020-03-01,39
2020-03-08,48
2020-03-15,48
2020-03-22,45
2020-03-29,43
2020-04-05,53
2020-04-12,35
2020-04-19,42
2020-04-26,38
2020-05-03,35
2020-05-10,37
2020-05-17,44
2020-05-24,46
2020-05-31,42
2020-06-07,39
2020-06-14,39
2020-06-21,48
2020-06-28,49
2020-07-05,51
2020-07-12,43
2020-07-19,65
2020-07-26,51
2020-08-02,48
2020-08-09,47
2020-08-16,37
2020-08-23,42
2020-08-30,42
2020-09-06,27
2020-09-13,49
2020-09-20,34
2020-09-27,56
2020-10-04,55
2020-10-11,42
2020-10-18,42
2020-10-25,43
2020-11-01,40
2020-11-08,37
2020-11-15,45
2020-11-22,40
2020-11-29,40
2020-12-06,53
2020-12-13,55
2020-12-20,73
2020-12-27,74
2021-01-03,62
2021-01-10,48
2021-01-17,54
2021-01-24,40
2021-01-31,35
2021-02-07,33
2021-02-14,38
2021-02-21,26
2021-02-28,34
2021-03-07,41
2021-03-14,42
2021-03-21,33
2021-03-28,60
2021-04-04,50
2021-04-11,46
2021-04-18,46
2021-04-25,48
2021-05-02,37
2021-05-09,48
2021-05-16,53
2021-05-23,53
2021-05-30,56
2021-06-06,56
2021-06-13,65
2021-06-20,54
2021-06-27,68
2021-07-04,57
2021-07-11,64
2021-07-18,65
2021-07-25,44
2021-08-01,55
2021-08-08,46
2021-08-15,50
2021-08-22,37
2021-08-29,39
2021-09-05,44
2021-09-12,37
2021-09-19,57
2021-09-26,35
2021-10-03,54
2021-10-10,46
2021-10-17,56
2021-10-24,45
2021-10-31,41
2021-11-07,52
2021-11-14,45
2021-11-21,41
2021-11-28,42
2021-12-05,49
2021-12-12,56
2021-12-19,57
2021-12-26,81
2022-01-02,100
2022-01-09,100
2022-01-16,75
2022-01-23,60
2022-01-30,50
2022-02-06,37
2022-02-13,42
2022-02-20,29
2022-02-27,41
2022-03-06,38
2022-03-13,31
2022-03-20,48
2022-03-27,38
2022-04-03,42
2022-04-10,51
2022-04-17,37
2022-04-24,42
2022-05-01,46
2022-05-08,51
2022-05-15,52
2022-05-22,49
2022-05-29,51
