Categoría: Todas las categorías

Semana,tos: (Colombia)
2020-01-05,34
2020-01-12,30
2020-01-19,25
2020-01-26,22
2020-02-02,22
2020-02-09,25
2020-02-16,24
2020-02-23,28
2020-03-01,26
2020-03-08,37
2020-03-15,54
2020-03-22,51
2020-03-29,35
2020-04-05,29
2020-04-12,27
2020-04-19,19
2020-04-26,18
2020-05-03,17
2020-05-10,15
2020-05-17,14
2020-05-24,15
2020-05-31,15
2020-06-07,15
2020-06-14,16
2020-06-21,17
2020-06-28,19
2020-07-05,21
2020-07-12,25
2020-07-19,24
2020-07-26,25
2020-08-02,23
2020-08-09,21
2020-08-16,23
2020-08-23,17
2020-08-30,17
2020-09-06,19
2020-09-13,18
2020-09-20,18
2020-09-27,19
2020-10-04,20
2020-10-11,21
2020-10-18,22
2020-10-25,22
2020-11-01,20
2020-11-08,19
2020-11-15,22
2020-11-22,21
2020-11-29,23
2020-12-06,25
2020-12-13,28
2020-12-20,30
2020-12-27,36
2021-01-03,37
2021-01-10,36
2021-01-17,31
2021-01-24,25
2021-01-31,21
2021-02-07,21
2021-02-14,19
2021-02-21,17
2021-02-28,18
2021-03-07,19
2021-03-14,18
2021-03-21,22
2021-03-28,29
2021-04-04,27
2021-04-11,29
2021-04-18,29
2021-04-25,30
2021-05-02,25
2021-05-09,25
2021-05-16,27
2021-05-23,29
2021-05-30,32
2021-06-06,38
2021-06-13,40
2021-06-20,43
2021-06-27,42
2021-07-04,42
2021-07-11,36
2021-07-18,32
2021-07-25,26
2021-08-01,32
2021-08-08,25
2021-08-15,29
2021-08-22,27
2021-08-29,30
2021-09-05,25
2021-09-12,29
2021-09-19,28
2021-09-26,30
2021-10-03,33
2021-10-10,35
2021-10-17,32
2021-10-24,31
2021-10-31,31
2021-11-07,36
2021-11-14,36
2021-11-21,34
2021-11-28,34
2021-12-05,40
2021-12-12,41
2021-12-19,45
2021-12-26,66
2022-01-02,88
2022-01-09,100
2022-01-16,72
2022-01-23,58
2022-01-30,45
2022-02-06,35
2022-02-13,33
2022-02-20,32
2022-02-27,36
2022-03-06,32
2022-03-13,33
2022-03-20,41
2022-03-27,40
2022-04-03,43
2022-04-10,49
2022-04-17,37
2022-04-24,41
2022-05-01,44
2022-05-08,46
2022-05-15,50
2022-05-22,53
2022-05-29,53
