Categoría: Todas las categorías

Semana,aglomeraciones: (Colombia)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,4
2020-02-02,17
2020-02-09,16
2020-02-16,12
2020-02-23,27
2020-03-01,4
2020-03-08,60
2020-03-15,96
2020-03-22,52
2020-03-29,31
2020-04-05,51
2020-04-12,28
2020-04-19,50
2020-04-26,38
2020-05-03,43
2020-05-10,38
2020-05-17,31
2020-05-24,36
2020-05-31,41
2020-06-07,19
2020-06-14,100
2020-06-21,51
2020-06-28,39
2020-07-05,36
2020-07-12,28
2020-07-19,19
2020-07-26,14
2020-08-02,29
2020-08-09,14
2020-08-16,11
2020-08-23,40
2020-08-30,45
2020-09-06,46
2020-09-13,25
2020-09-20,31
2020-09-27,30
2020-10-04,12
2020-10-11,42
2020-10-18,36
2020-10-25,35
2020-11-01,28
2020-11-08,15
2020-11-15,37
2020-11-22,16
2020-11-29,35
2020-12-06,38
2020-12-13,37
2020-12-20,63
2020-12-27,26
2021-01-03,14
2021-01-10,18
2021-01-17,39
2021-01-24,33
2021-01-31,20
2021-02-07,26
2021-02-14,37
2021-02-21,36
2021-02-28,29
2021-03-07,51
2021-03-14,34
2021-03-21,27
2021-03-28,32
2021-04-04,29
2021-04-11,42
2021-04-18,24
2021-04-25,63
2021-05-02,47
2021-05-09,22
2021-05-16,24
2021-05-23,44
2021-05-30,15
2021-06-06,16
2021-06-13,4
2021-06-20,36
2021-06-27,61
2021-07-04,25
2021-07-11,23
2021-07-18,25
2021-07-25,27
2021-08-01,19
2021-08-08,20
2021-08-15,16
2021-08-22,20
2021-08-29,0
2021-09-05,13
2021-09-12,13
2021-09-19,5
2021-09-26,13
2021-10-03,4
2021-10-10,14
2021-10-17,28
2021-10-24,9
2021-10-31,14
2021-11-07,9
2021-11-14,4
2021-11-21,9
2021-11-28,5
2021-12-05,5
2021-12-12,5
2021-12-19,6
2021-12-26,18
2022-01-02,5
2022-01-09,10
2022-01-16,27
2022-01-23,8
2022-01-30,16
2022-02-06,19
2022-02-13,12
2022-02-20,14
2022-02-27,14
2022-03-06,20
2022-03-13,17
2022-03-20,12
2022-03-27,10
2022-04-03,11
2022-04-10,11
2022-04-17,11
2022-04-24,5
2022-05-01,16
2022-05-08,3
2022-05-15,16
2022-05-22,6
2022-05-29,3
