Categoría: Todas las categorías

Semana,concierto: (Colombia)
2020-01-05,20
2020-01-12,18
2020-01-19,17
2020-01-26,17
2020-02-02,21
2020-02-09,18
2020-02-16,25
2020-02-23,28
2020-03-01,26
2020-03-08,29
2020-03-15,11
2020-03-22,8
2020-03-29,9
2020-04-05,9
2020-04-12,26
2020-04-19,16
2020-04-26,10
2020-05-03,7
2020-05-10,9
2020-05-17,7
2020-05-24,8
2020-05-31,7
2020-06-07,6
2020-06-14,7
2020-06-21,10
2020-06-28,7
2020-07-05,7
2020-07-12,7
2020-07-19,9
2020-07-26,5
2020-08-02,6
2020-08-09,7
2020-08-16,8
2020-08-23,6
2020-08-30,7
2020-09-06,7
2020-09-13,10
2020-09-20,10
2020-09-27,9
2020-10-04,11
2020-10-11,10
2020-10-18,9
2020-10-25,10
2020-11-01,10
2020-11-08,8
2020-11-15,10
2020-11-22,14
2020-11-29,8
2020-12-06,9
2020-12-13,8
2020-12-20,13
2020-12-27,24
2021-01-03,7
2021-01-10,7
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,5
2021-02-21,6
2021-02-28,7
2021-03-07,7
2021-03-14,5
2021-03-21,6
2021-03-28,7
2021-04-04,7
2021-04-11,12
2021-04-18,16
2021-04-25,7
2021-05-02,6
2021-05-09,9
2021-05-16,7
2021-05-23,7
2021-05-30,6
2021-06-06,9
2021-06-13,8
2021-06-20,7
2021-06-27,7
2021-07-04,7
2021-07-11,6
2021-07-18,7
2021-07-25,9
2021-08-01,14
2021-08-08,11
2021-08-15,19
2021-08-22,21
2021-08-29,26
2021-09-05,22
2021-09-12,17
2021-09-19,19
2021-09-26,16
2021-10-03,15
2021-10-10,18
2021-10-17,19
2021-10-24,21
2021-10-31,21
2021-11-07,37
2021-11-14,30
2021-11-21,28
2021-11-28,37
2021-12-05,62
2021-12-12,48
2021-12-19,29
2021-12-26,40
2022-01-02,28
2022-01-09,18
2022-01-16,16
2022-01-23,81
2022-01-30,31
2022-02-06,25
2022-02-13,28
2022-02-20,33
2022-02-27,37
2022-03-06,28
2022-03-13,37
2022-03-20,100
2022-03-27,68
2022-04-03,54
2022-04-10,34
2022-04-17,34
2022-04-24,45
2022-05-01,56
2022-05-08,36
2022-05-15,39
2022-05-22,44
2022-05-29,31
