Categoría: Todas las categorías

Semana,dia sin iva: (Colombia)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,<1
2020-02-02,<1
2020-02-09,1
2020-02-16,<1
2020-02-23,<1
2020-03-01,<1
2020-03-08,<1
2020-03-15,<1
2020-03-22,<1
2020-03-29,<1
2020-04-05,<1
2020-04-12,0
2020-04-19,<1
2020-04-26,0
2020-05-03,<1
2020-05-10,<1
2020-05-17,4
2020-05-24,5
2020-05-31,8
2020-06-07,13
2020-06-14,100
2020-06-21,7
2020-06-28,39
2020-07-05,6
2020-07-12,11
2020-07-19,4
2020-07-26,2
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,<1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,2
2020-11-01,5
2020-11-08,8
2020-11-15,61
2020-11-22,6
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,<1
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,<1
2021-02-07,<1
2021-02-14,<1
2021-02-21,<1
2021-02-28,<1
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,<1
2021-04-11,<1
2021-04-18,<1
2021-04-25,<1
2021-05-02,<1
2021-05-09,<1
2021-05-16,<1
2021-05-23,<1
2021-05-30,<1
2021-06-06,<1
2021-06-13,<1
2021-06-20,<1
2021-06-27,<1
2021-07-04,<1
2021-07-11,<1
2021-07-18,1
2021-07-25,<1
2021-08-01,1
2021-08-08,<1
2021-08-15,<1
2021-08-22,<1
2021-08-29,<1
2021-09-05,1
2021-09-12,2
2021-09-19,2
2021-09-26,3
2021-10-03,4
2021-10-10,7
2021-10-17,12
2021-10-24,48
2021-10-31,6
2021-11-07,8
2021-11-14,36
2021-11-21,7
2021-11-28,24
2021-12-05,1
2021-12-12,1
2021-12-19,1
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,2
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,4
2022-02-27,9
2022-03-06,39
2022-03-13,4
2022-03-20,3
2022-03-27,2
2022-04-03,2
2022-04-10,3
2022-04-17,2
2022-04-24,3
2022-05-01,3
2022-05-08,3
2022-05-15,4
2022-05-22,5
2022-05-29,9
