Categoría: Todas las categorías

Semana,moderna: (Colombia)
2020-01-05,4
2020-01-12,4
2020-01-19,5
2020-01-26,7
2020-02-02,9
2020-02-09,12
2020-02-16,10
2020-02-23,11
2020-03-01,10
2020-03-08,9
2020-03-15,8
2020-03-22,8
2020-03-29,7
2020-04-05,6
2020-04-12,6
2020-04-19,10
2020-04-26,11
2020-05-03,12
2020-05-10,9
2020-05-17,10
2020-05-24,9
2020-05-31,9
2020-06-07,9
2020-06-14,8
2020-06-21,8
2020-06-28,8
2020-07-05,8
2020-07-12,9
2020-07-19,11
2020-07-26,9
2020-08-02,8
2020-08-09,9
2020-08-16,10
2020-08-23,10
2020-08-30,10
2020-09-06,10
2020-09-13,10
2020-09-20,8
2020-09-27,9
2020-10-04,7
2020-10-11,8
2020-10-18,9
2020-10-25,8
2020-11-01,9
2020-11-08,9
2020-11-15,10
2020-11-22,7
2020-11-29,7
2020-12-06,4
2020-12-13,6
2020-12-20,4
2020-12-27,3
2021-01-03,4
2021-01-10,6
2021-01-17,6
2021-01-24,6
2021-01-31,8
2021-02-07,11
2021-02-14,11
2021-02-21,12
2021-02-28,11
2021-03-07,11
2021-03-14,11
2021-03-21,10
2021-03-28,8
2021-04-04,10
2021-04-11,11
2021-04-18,11
2021-04-25,10
2021-05-02,8
2021-05-09,8
2021-05-16,8
2021-05-23,8
2021-05-30,9
2021-06-06,7
2021-06-13,7
2021-06-20,7
2021-06-27,7
2021-07-04,8
2021-07-11,15
2021-07-18,20
2021-07-25,100
2021-08-01,79
2021-08-08,42
2021-08-15,30
2021-08-22,66
2021-08-29,45
2021-09-05,30
2021-09-12,37
2021-09-19,52
2021-09-26,42
2021-10-03,45
2021-10-10,27
2021-10-17,20
2021-10-24,18
2021-10-31,17
2021-11-07,19
2021-11-14,18
2021-11-21,21
2021-11-28,18
2021-12-05,15
2021-12-12,14
2021-12-19,14
2021-12-26,13
2022-01-02,16
2022-01-09,16
2022-01-16,13
2022-01-23,13
2022-01-30,12
2022-02-06,15
2022-02-13,18
2022-02-20,17
2022-02-27,15
2022-03-06,13
2022-03-13,12
2022-03-20,13
2022-03-27,12
2022-04-03,12
2022-04-10,6
2022-04-17,10
2022-04-24,10
2022-05-01,10
2022-05-08,9
2022-05-15,7
2022-05-22,8
2022-05-29,8
