Categoría: Todas las categorías

Semana,pfizer: (Colombia)
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,<1
2020-02-02,1
2020-02-09,<1
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,1
2020-03-22,<1
2020-03-29,<1
2020-04-05,1
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,<1
2020-06-21,<1
2020-06-28,2
2020-07-05,1
2020-07-12,1
2020-07-19,2
2020-07-26,5
2020-08-02,1
2020-08-09,1
2020-08-16,2
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,2
2020-10-25,1
2020-11-01,1
2020-11-08,20
2020-11-15,6
2020-11-22,5
2020-11-29,12
2020-12-06,14
2020-12-13,13
2020-12-20,12
2020-12-27,9
2021-01-03,13
2021-01-10,10
2021-01-17,10
2021-01-24,14
2021-01-31,10
2021-02-07,5
2021-02-14,22
2021-02-21,13
2021-02-28,9
2021-03-07,13
2021-03-14,11
2021-03-21,8
2021-03-28,12
2021-04-04,15
2021-04-11,26
2021-04-18,26
2021-04-25,23
2021-05-02,20
2021-05-09,26
2021-05-16,23
2021-05-23,42
2021-05-30,59
2021-06-06,48
2021-06-13,68
2021-06-20,100
2021-06-27,68
2021-07-04,71
2021-07-11,81
2021-07-18,52
2021-07-25,53
2021-08-01,33
2021-08-08,21
2021-08-15,34
2021-08-22,45
2021-08-29,32
2021-09-05,28
2021-09-12,23
2021-09-19,21
2021-09-26,19
2021-10-03,16
2021-10-10,12
2021-10-17,12
2021-10-24,12
2021-10-31,17
2021-11-07,18
2021-11-14,22
2021-11-21,36
2021-11-28,30
2021-12-05,26
2021-12-12,29
2021-12-19,24
2021-12-26,25
2022-01-02,30
2022-01-09,24
2022-01-16,22
2022-01-23,16
2022-01-30,18
2022-02-06,16
2022-02-13,13
2022-02-20,9
2022-02-27,6
2022-03-06,6
2022-03-13,4
2022-03-20,7
2022-03-27,5
2022-04-03,4
2022-04-10,4
2022-04-17,4
2022-04-24,5
2022-05-01,4
2022-05-08,3
2022-05-15,3
2022-05-22,4
2022-05-29,3
