Categoría: Todas las categorías

Semana,sinopharm: (Colombia)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,4
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,22
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,3
2020-08-30,3
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,4
2020-10-11,0
2020-10-18,4
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,4
2020-11-29,4
2020-12-06,5
2020-12-13,0
2020-12-20,10
2020-12-27,16
2021-01-03,9
2021-01-10,22
2021-01-17,26
2021-01-24,12
2021-01-31,24
2021-02-07,30
2021-02-14,40
2021-02-21,32
2021-02-28,18
2021-03-07,14
2021-03-14,7
2021-03-21,23
2021-03-28,33
2021-04-04,25
2021-04-11,21
2021-04-18,3
2021-04-25,11
2021-05-02,25
2021-05-09,26
2021-05-16,20
2021-05-23,33
2021-05-30,34
2021-06-06,47
2021-06-13,55
2021-06-20,64
2021-06-27,41
2021-07-04,100
2021-07-11,81
2021-07-18,68
2021-07-25,73
2021-08-01,66
2021-08-08,32
2021-08-15,44
2021-08-22,44
2021-08-29,41
2021-09-05,9
2021-09-12,40
2021-09-19,41
2021-09-26,18
2021-10-03,27
2021-10-10,34
2021-10-17,33
2021-10-24,26
2021-10-31,32
2021-11-07,30
2021-11-14,22
2021-11-21,32
2021-11-28,32
2021-12-05,10
2021-12-12,19
2021-12-19,34
2021-12-26,6
2022-01-02,26
2022-01-09,34
2022-01-16,22
2022-01-23,38
2022-01-30,8
2022-02-06,23
2022-02-13,15
2022-02-20,8
2022-02-27,9
2022-03-06,17
2022-03-13,6
2022-03-20,9
2022-03-27,5
2022-04-03,6
2022-04-10,4
2022-04-17,0
2022-04-24,5
2022-05-01,6
2022-05-08,6
2022-05-15,6
2022-05-22,6
2022-05-29,3
