Categoría: Todas las categorías

Semana,sinovac: (Colombia)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,<1
2020-04-19,<1
2020-04-26,<1
2020-05-03,<1
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,<1
2020-06-14,<1
2020-06-21,<1
2020-06-28,<1
2020-07-05,0
2020-07-12,0
2020-07-19,<1
2020-07-26,<1
2020-08-02,0
2020-08-09,<1
2020-08-16,<1
2020-08-23,<1
2020-08-30,<1
2020-09-06,<1
2020-09-13,0
2020-09-20,<1
2020-09-27,<1
2020-10-04,0
2020-10-11,<1
2020-10-18,<1
2020-10-25,0
2020-11-01,0
2020-11-08,<1
2020-11-15,0
2020-11-22,<1
2020-11-29,<1
2020-12-06,<1
2020-12-13,<1
2020-12-20,<1
2020-12-27,0
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,2
2021-01-31,4
2021-02-07,2
2021-02-14,14
2021-02-21,18
2021-02-28,10
2021-03-07,24
2021-03-14,23
2021-03-21,21
2021-03-28,32
2021-04-04,21
2021-04-11,21
2021-04-18,16
2021-04-25,17
2021-05-02,16
2021-05-09,26
2021-05-16,28
2021-05-23,43
2021-05-30,46
2021-06-06,31
2021-06-13,35
2021-06-20,55
2021-06-27,76
2021-07-04,100
2021-07-11,69
2021-07-18,73
2021-07-25,88
2021-08-01,36
2021-08-08,27
2021-08-15,27
2021-08-22,34
2021-08-29,18
2021-09-05,15
2021-09-12,9
2021-09-19,16
2021-09-26,16
2021-10-03,11
2021-10-10,9
2021-10-17,10
2021-10-24,10
2021-10-31,19
2021-11-07,17
2021-11-14,14
2021-11-21,14
2021-11-28,11
2021-12-05,11
2021-12-12,12
2021-12-19,12
2021-12-26,11
2022-01-02,16
2022-01-09,16
2022-01-16,13
2022-01-23,10
2022-01-30,7
2022-02-06,6
2022-02-13,4
2022-02-20,3
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,2
2022-05-15,1
2022-05-22,1
2022-05-29,1
