Categoría: Todas las categorías

Semana,trombos: (Colombia)
2020-01-05,9
2020-01-12,12
2020-01-19,18
2020-01-26,6
2020-02-02,12
2020-02-09,10
2020-02-16,7
2020-02-23,13
2020-03-01,8
2020-03-08,19
2020-03-15,6
2020-03-22,7
2020-03-29,9
2020-04-05,12
2020-04-12,17
2020-04-19,28
2020-04-26,21
2020-05-03,26
2020-05-10,20
2020-05-17,27
2020-05-24,13
2020-05-31,15
2020-06-07,19
2020-06-14,18
2020-06-21,31
2020-06-28,34
2020-07-05,11
2020-07-12,17
2020-07-19,19
2020-07-26,17
2020-08-02,15
2020-08-09,28
2020-08-16,23
2020-08-23,16
2020-08-30,19
2020-09-06,12
2020-09-13,10
2020-09-20,9
2020-09-27,8
2020-10-04,14
2020-10-11,16
2020-10-18,9
2020-10-25,17
2020-11-01,12
2020-11-08,13
2020-11-15,18
2020-11-22,19
2020-11-29,30
2020-12-06,26
2020-12-13,16
2020-12-20,22
2020-12-27,11
2021-01-03,28
2021-01-10,25
2021-01-17,30
2021-01-24,7
2021-01-31,15
2021-02-07,21
2021-02-14,17
2021-02-21,15
2021-02-28,22
2021-03-07,48
2021-03-14,41
2021-03-21,21
2021-03-28,34
2021-04-04,100
2021-04-11,89
2021-04-18,46
2021-04-25,50
2021-05-02,55
2021-05-09,56
2021-05-16,69
2021-05-23,51
2021-05-30,82
2021-06-06,50
2021-06-13,60
2021-06-20,91
2021-06-27,93
2021-07-04,78
2021-07-11,82
2021-07-18,67
2021-07-25,52
2021-08-01,45
2021-08-08,54
2021-08-15,54
2021-08-22,46
2021-08-29,28
2021-09-05,32
2021-09-12,27
2021-09-19,25
2021-09-26,40
2021-10-03,19
2021-10-10,22
2021-10-17,28
2021-10-24,20
2021-10-31,41
2021-11-07,26
2021-11-14,30
2021-11-21,25
2021-11-28,63
2021-12-05,39
2021-12-12,23
2021-12-19,41
2021-12-26,33
2022-01-02,51
2022-01-09,31
2022-01-16,54
2022-01-23,42
2022-01-30,29
2022-02-06,18
2022-02-13,25
2022-02-20,29
2022-02-27,30
2022-03-06,27
2022-03-13,25
2022-03-20,26
2022-03-27,23
2022-04-03,26
2022-04-10,27
2022-04-17,26
2022-04-24,15
2022-05-01,16
2022-05-08,20
2022-05-15,32
2022-05-22,19
2022-05-29,10
