Categoría: Todas las categorías

Semana,trombosis: (Colombia)
2020-01-05,82
2020-01-12,59
2020-01-19,66
2020-01-26,42
2020-02-02,47
2020-02-09,46
2020-02-16,53
2020-02-23,39
2020-03-01,47
2020-03-08,50
2020-03-15,37
2020-03-22,44
2020-03-29,41
2020-04-05,39
2020-04-12,94
2020-04-19,100
2020-04-26,74
2020-05-03,68
2020-05-10,68
2020-05-17,74
2020-05-24,53
2020-05-31,44
2020-06-07,51
2020-06-14,44
2020-06-21,41
2020-06-28,76
2020-07-05,70
2020-07-12,41
2020-07-19,58
2020-07-26,51
2020-08-02,57
2020-08-09,60
2020-08-16,60
2020-08-23,39
2020-08-30,52
2020-09-06,61
2020-09-13,60
2020-09-20,38
2020-09-27,43
2020-10-04,61
2020-10-11,55
2020-10-18,57
2020-10-25,59
2020-11-01,57
2020-11-08,42
2020-11-15,51
2020-11-22,58
2020-11-29,42
2020-12-06,58
2020-12-13,49
2020-12-20,45
2020-12-27,46
2021-01-03,54
2021-01-10,47
2021-01-17,49
2021-01-24,62
2021-01-31,45
2021-02-07,56
2021-02-14,47
2021-02-21,45
2021-02-28,52
2021-03-07,57
2021-03-14,76
2021-03-21,53
2021-03-28,69
2021-04-04,96
2021-04-11,97
2021-04-18,72
2021-04-25,48
2021-05-02,65
2021-05-09,76
2021-05-16,86
2021-05-23,72
2021-05-30,96
2021-06-06,93
2021-06-13,98
2021-06-20,93
2021-06-27,68
2021-07-04,67
2021-07-11,82
2021-07-18,64
2021-07-25,62
2021-08-01,89
2021-08-08,71
2021-08-15,67
2021-08-22,67
2021-08-29,58
2021-09-05,62
2021-09-12,57
2021-09-19,61
2021-09-26,50
2021-10-03,44
2021-10-10,59
2021-10-17,56
2021-10-24,56
2021-10-31,46
2021-11-07,53
2021-11-14,62
2021-11-21,44
2021-11-28,56
2021-12-05,54
2021-12-12,52
2021-12-19,50
2021-12-26,55
2022-01-02,83
2022-01-09,74
2022-01-16,68
2022-01-23,67
2022-01-30,55
2022-02-06,76
2022-02-13,69
2022-02-20,63
2022-02-27,63
2022-03-06,60
2022-03-13,69
2022-03-20,69
2022-03-27,76
2022-04-03,66
2022-04-10,57
2022-04-17,57
2022-04-24,65
2022-05-01,65
2022-05-08,76
2022-05-15,78
2022-05-22,61
2022-05-29,66
