Categoría: Todas las categorías

Semana,Vacunacion: (Colombia)
2020-01-05,4
2020-01-12,4
2020-01-19,6
2020-01-26,4
2020-02-02,3
2020-02-09,3
2020-02-16,3
2020-02-23,3
2020-03-01,3
2020-03-08,3
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,3
2020-04-19,4
2020-04-26,4
2020-05-03,3
2020-05-10,3
2020-05-17,4
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,2
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,2
2020-09-06,3
2020-09-13,3
2020-09-20,4
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,3
2020-10-25,3
2020-11-01,3
2020-11-08,3
2020-11-15,3
2020-11-22,3
2020-11-29,3
2020-12-06,4
2020-12-13,4
2020-12-20,5
2020-12-27,5
2021-01-03,8
2021-01-10,11
2021-01-17,10
2021-01-24,12
2021-01-31,15
2021-02-07,16
2021-02-14,21
2021-02-21,15
2021-02-28,14
2021-03-07,21
2021-03-14,24
2021-03-21,21
2021-03-28,24
2021-04-04,27
2021-04-11,29
2021-04-18,27
2021-04-25,31
2021-05-02,33
2021-05-09,47
2021-05-16,37
2021-05-23,68
2021-05-30,81
2021-06-06,65
2021-06-13,79
2021-06-20,76
2021-06-27,71
2021-07-04,71
2021-07-11,72
2021-07-18,76
2021-07-25,91
2021-08-01,75
2021-08-08,66
2021-08-15,75
2021-08-22,80
2021-08-29,63
2021-09-05,47
2021-09-12,38
2021-09-19,43
2021-09-26,39
2021-10-03,45
2021-10-10,37
2021-10-17,31
2021-10-24,32
2021-10-31,66
2021-11-07,64
2021-11-14,100
2021-11-21,87
2021-11-28,81
2021-12-05,74
2021-12-12,74
2021-12-19,64
2021-12-26,73
2022-01-02,97
2022-01-09,86
2022-01-16,72
2022-01-23,53
2022-01-30,42
2022-02-06,35
2022-02-13,32
2022-02-20,33
2022-02-27,25
2022-03-06,23
2022-03-13,22
2022-03-20,24
2022-03-27,19
2022-04-03,21
2022-04-10,24
2022-04-17,19
2022-04-24,22
2022-05-01,17
2022-05-08,15
2022-05-15,15
2022-05-22,13
2022-05-29,13
