Categoría: Todas las categorías

Semana,efectos secundarios: (Colombia)
2020-01-05,45
2020-01-12,50
2020-01-19,58
2020-01-26,49
2020-02-02,44
2020-02-09,43
2020-02-16,43
2020-02-23,47
2020-03-01,43
2020-03-08,44
2020-03-15,36
2020-03-22,38
2020-03-29,36
2020-04-05,39
2020-04-12,38
2020-04-19,33
2020-04-26,35
2020-05-03,38
2020-05-10,36
2020-05-17,36
2020-05-24,41
2020-05-31,37
2020-06-07,39
2020-06-14,37
2020-06-21,48
2020-06-28,44
2020-07-05,44
2020-07-12,48
2020-07-19,47
2020-07-26,45
2020-08-02,47
2020-08-09,50
2020-08-16,45
2020-08-23,45
2020-08-30,45
2020-09-06,45
2020-09-13,43
2020-09-20,47
2020-09-27,48
2020-10-04,46
2020-10-11,49
2020-10-18,47
2020-10-25,48
2020-11-01,42
2020-11-08,48
2020-11-15,44
2020-11-22,49
2020-11-29,50
2020-12-06,55
2020-12-13,50
2020-12-20,55
2020-12-27,62
2021-01-03,65
2021-01-10,65
2021-01-17,59
2021-01-24,57
2021-01-31,48
2021-02-07,54
2021-02-14,52
2021-02-21,56
2021-02-28,51
2021-03-07,53
2021-03-14,53
2021-03-21,51
2021-03-28,56
2021-04-04,58
2021-04-11,57
2021-04-18,60
2021-04-25,56
2021-05-02,57
2021-05-09,57
2021-05-16,62
2021-05-23,60
2021-05-30,64
2021-06-06,67
2021-06-13,77
2021-06-20,83
2021-06-27,82
2021-07-04,84
2021-07-11,100
2021-07-18,87
2021-07-25,88
2021-08-01,78
2021-08-08,68
2021-08-15,75
2021-08-22,74
2021-08-29,56
2021-09-05,51
2021-09-12,60
2021-09-19,54
2021-09-26,55
2021-10-03,63
2021-10-10,62
2021-10-17,63
2021-10-24,55
2021-10-31,55
2021-11-07,59
2021-11-14,64
2021-11-21,57
2021-11-28,53
2021-12-05,57
2021-12-12,45
2021-12-19,54
2021-12-26,58
2022-01-02,69
2022-01-09,74
2022-01-16,69
2022-01-23,62
2022-01-30,62
2022-02-06,60
2022-02-13,61
2022-02-20,58
2022-02-27,55
2022-03-06,58
2022-03-13,55
2022-03-20,66
2022-03-27,62
2022-04-03,63
2022-04-10,64
2022-04-17,61
2022-04-24,59
2022-05-01,61
2022-05-08,55
2022-05-15,58
2022-05-22,61
2022-05-29,51
